1780379830,7.008,2.797,steady_mark,30,1
1780379831,6.977,2.797,day_tick,50,1
1780379831,6.965,2.797,day_tick,100,1
1780379832,7.035,2.824,day_tick,150,1
1780379833,7.016,2.824,day_tick,200,1
1780379834,6.973,2.824,day_tick,250,1
1780379834,6.641,2.590,day_tick,300,1
1780379835,6.969,2.824,day_tick,350,1
1780379836,6.977,2.824,day_tick,400,1
1780379837,6.977,2.824,day_tick,450,1
1780379838,6.980,2.824,day_tick,500,1
1780379838,6.984,2.824,day_tick,550,1
1780379839,6.977,2.824,day_tick,600,1
1780379840,6.969,2.824,day_tick,650,1
1780379841,6.980,2.824,day_tick,700,1
1780379842,6.980,2.824,day_tick,750,1
1780379843,6.992,2.824,day_tick,800,1
1780379844,6.980,2.824,day_tick,850,1
1780379844,6.977,2.824,day_tick,900,1
1780379845,6.973,2.824,day_tick,950,1
1780379846,6.980,2.824,day_tick,1000,1
1780379847,7.059,2.871,day_tick,1050,1
1780379848,7.047,2.871,day_tick,1100,1
1780379850,7.047,2.871,day_tick,1150,1
1780379851,7.047,2.871,day_tick,1200,1
1780379852,6.730,2.688,day_tick,1250,1
1780379853,7.047,2.871,day_tick,1300,1
1780379854,7.047,2.871,day_tick,1350,1
1780379855,7.047,2.871,day_tick,1400,1
1780379856,7.082,2.871,day_tick,1450,1
1780379857,7.082,2.871,day_tick,1500,1
1780379857,8.070,5.031,night_tick,1,1
1780379857,8.180,4.117,night_tick,2,1
1780379857,8.176,3.984,night_tick,3,1
1780379858,8.293,5.129,night_tick,4,1
1780379858,8.137,4.148,night_tick,5,1
1780379858,8.176,3.973,night_tick,6,1
1780379858,8.324,4.730,night_tick,7,1
1780379858,8.289,5.539,night_tick,8,1
1780379858,8.078,4.434,night_tick,9,1
1780379858,8.281,5.020,night_tick,10,1
1780379858,8.156,5.273,night_tick,11,1
1780379858,8.270,4.109,night_tick,12,1
1780379858,8.152,5.031,night_tick,13,1
1780379858,8.152,4.215,night_tick,14,1
1780379858,8.316,5.008,night_tick,15,1
1780379858,8.301,4.637,night_tick,16,1
1780379858,8.074,4.605,night_tick,17,1
1780379858,8.266,4.668,night_tick,18,1
1780379858,8.227,4.188,night_tick,19,1
1780379859,8.160,4.523,night_tick,20,1
1780379859,8.297,4.887,night_tick,21,1
1780379859,8.277,4.230,night_tick,22,1
1780379859,8.234,4.445,night_tick,23,1
1780379859,8.207,4.266,night_tick,24,1
1780379859,8.281,4.723,night_tick,25,1
1780379859,8.188,4.027,night_tick,26,1
1780379859,8.227,4.625,night_tick,27,1
1780379859,8.207,4.191,night_tick,28,1
1780379859,8.184,4.020,night_tick,29,1
1780379859,8.324,4.262,night_tick,30,1
1780380730,7.039,2.746,pre_teardown,1500,1
